"HYPERVISEUR";"VERSION vCENTER";"Host";"Name";"ETAT";"DATE_DEMARRAGE_OS";"DATE_CREATION_VM";"OS";"DNS";"IP";"ANNOTATION";"BALISES_VEEAM";"BALISES_NETBACKUP";"BALISES_Environnement";"BALISES_GuestOS";"Network #1";"Network #2";"Network #3";"Network #4";"Network #5";"Network #6";"Network #7";"Network #8"
"";"";"";"awsdvrds001";"available";"";"";"";"";"";"Instance sqlserver-se 16-00 pour agil-localpos en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"awsdvrds002";"available";"";"";"";"";"";"Instance oracle-se2 19-0 pour oad-agri en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"maawsadv001";"available";"";"";"";"";"";"Instance RDS MariaDB pour centreon en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"maawsadv012";"available";"";"";"";"";"";"Instance mariadb 10.11 pour wiki en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv002";"available";"";"";"";"";"";"Instance postgres 12.11 pour extranet-adherent en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv003";"available";"";"";"";"";"";"Instance postgres 12-19 pour semarchy en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv004";"available";"";"";"";"";"";"Instance postgres 12.11 pour redmine en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv005";"stopped";"";"";"";"";"";"Instance postgres 13.10 pour horoquartz-etemptation en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv006";"stopped";"";"";"";"";"";"Instance postgres 13.5 pour rds_mutualized en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv007";"stopped";"";"";"";"";"";"Base de donnees carbone facturation secours";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv008";"available";"";"";"";"";"";"Instance RDS postgres dwh";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv009";"available";"";"";"";"";"";"Instance postgres 14-12 pour qliksense en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsadv999";"stopped";"";"";"";"";"";"Instance postgres 12.5 pour tests-dba en environnement de developpement";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"pgawstdv001";"available";"";"";"";"";"";"";"";"";"developpement";"";"";"";"";"";"";"";"";""
"";"";"";"awspdrds001";"available";"";"";"";"";"";"Instance sqlserver-se 16-00 pour agil-localpos en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"awspdrds002";"available";"";"";"";"";"";"Instance sqlserver-se 16-00 pour m3-cft en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"maawsapd012";"available";"";"";"";"";"";"Instance mariadb 10.11 pour wiki en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"msawsapd010";"available";"";"";"";"";"";"Instance sqlserver-se 15-00 pour myscore en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd002";"available";"";"";"";"";"";"Instance postgres 12.11 pour extranet-adherent en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd003";"available";"";"";"";"";"";"Instance postgres 12-19 pour semarchy en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd004";"available";"";"";"";"";"";"Instance postgres 12.11 pour redmine en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd005";"available";"";"";"";"";"";"Instance postgres 13.10 pour horoquartz-etemptation en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd007";"available";"";"";"";"";"";"";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd008";"available";"";"";"";"";"";"Instance RDS postgres dwh";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsapd009";"available";"";"";"";"";"";"Instance postgres 14-12 pour qliksense en environnement de production";"";"";"production";"";"";"";"";"";"";"";"";""
"";"";"";"awsrerds001";"available";"";"";"";"";"";"Instance sqlserver-se 15-00 pour myscore en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"awsrerds002";"available";"";"";"";"";"";"Instance sqlserver-se 16-00 pour agil-localpos en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"awsrerds003";"available";"";"";"";"";"";"Instance oracle-se2 19-0 pour oad-agri en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"awsrerds004";"available";"";"";"";"";"";"Instance sqlserver-se 16-00 pour m3-cft en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsare002";"available";"";"";"";"";"";"Instance postgres 12.11 pour extranet-adherent en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsare003";"available";"";"";"";"";"";"Instance postgres 12-19 pour semarchy en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsare004";"available";"";"";"";"";"";"Instance postgres 12.11 pour redmine en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsare005";"stopped";"";"";"";"";"";"Instance postgres 13.10 pour horoquartz-etemptation en environnement de recette";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawsare007";"stopped";"";"";"";"";"";"Facturation Fastligth";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"pgawstre001";"available";"";"";"";"";"";"";"";"";"recette";"";"";"";"";"";"";"";"";""
"";"";"";"msawsase011";"available";"";"";"";"";"";"Instance MS-SQL Express pour la ferme Remote Desktop Service de Wallix";"";"";"securite";"";"";"";"";"";"";"";"";""
"";"";"";"maawsash001";"available";"";"";"";"";"";"Instance RDS MariaDB pour centreon en environnement de shared";"";"";"shared";"";"";"";"";"";"";"";"";""
