"category";"name";"description";"versioning";"profile"
"aws.s3.bucket";"076-wms-fastlight-pdf-files-feature-pdf-generation";"";"None";"developpement"
"aws.s3.bucket";"1075-facturation-fastlight-developpement";"";"None";"developpement"
"aws.s3.bucket";"1075-facturation-fastlight-invoices-feature-24";"";"None";"developpement"
"aws.s3.bucket";"1075-facturation-fastlight-invoices-stage";"";"None";"developpement"
"aws.s3.bucket";"1075-facturation-fastlight-invoices-test";"";"None";"developpement"
"aws.s3.bucket";"1075-facturation-fastlight-developpement";"";"None";"developpement"
"aws.s3.bucket";"1076-wms-fastlight-pdf-files-develop";"";"None";"developpement"
"aws.s3.bucket";"1076-wms-fastlight-pdf-files-stage";"";"None";"developpement"
"aws.s3.bucket";"aws-athena-query-results-773535489628-eu-west-3";"";"None";"developpement"
"aws.s3.bucket";"aws-sam-cli-managed-default-samclisourcebucket-6s9k7nnsq4po";"";"Enabled";"developpement"
"aws.s3.bucket";"aws-sam-cli-managed-deploy-artifactsloggingbucket-1inor8g2xkyso";"";"Enabled";"developpement"
"aws.s3.bucket";"aws-sam-cli-managed-deploy-pipeli-artifactsbucket-9hsj531kooem";"";"Enabled";"developpement"
"aws.s3.bucket";"aws-sam-cli-managed-setup-artifactsloggingbucket-1gw1q8drvg0fu";"";"Enabled";"developpement"
"aws.s3.bucket";"aws-sam-cli-managed-setup-pipelin-artifactsbucket-tjs762b76uew";"";"Enabled";"developpement"
"aws.s3.bucket";"cdktoolkit-stagingbucket-1n5ty7s100csm";"";"None";"developpement"
"aws.s3.bucket";"cf-templates-5wdmno4lfc38-eu-west-3";"";"None";"developpement"
"aws.s3.bucket";"codepipeline-eu-west-3-936978601780";"";"None";"developpement"
"aws.s3.bucket";"daucy-athena-tampon-s3-dev";"";"None";"developpement"
"aws.s3.bucket";"daucy-data-s3-dev";"Datalake du groupe Eureden";"Enabled";"developpement"
"aws.s3.bucket";"daucy-data-sources-s3";"";"Suspended";"developpement"
"aws.s3.bucket";"daucy-sources-lambda-s3-rec";"";"Suspended";"developpement"
"aws.s3.bucket";"elasticbeanstalk-eu-west-3-773535489628";"";"None";"developpement"
"aws.s3.bucket";"eureden-dataiku-developpement";"bucket S3 pour DataIku";"None";"developpement"
"aws.s3.bucket";"eureden-easyredmine-developpement";"bucket S3 pour archivage easyredmine";"None";"developpement"
"aws.s3.bucket";"eureden-precap-load-file-developpement";"Bucket de travail pour la Lambda app-1051-load-file-developpement";"Suspended";"developpement"
"aws.s3.bucket";"eureden-sagemaker-dev-01";"";"None";"developpement"
"aws.s3.bucket";"eureden-site-static-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-capinov-precap-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-extadh-cgu-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-extadh-inscription-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-extadh-mes-exploitations-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-extranet-adherent-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-facturation-fastlight-stage";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-facturation-fastlight-test";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-testcicd-developpement";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-wms-fastlight-stage";"";"None";"developpement"
"aws.s3.bucket";"eureden-static-website-wms-fastlight-test";"";"None";"developpement"
"aws.s3.bucket";"eureden-tests-dba-developpement";"bucket S3 pour les tests dba";"Suspended";"developpement"
"aws.s3.bucket";"eureden-veeam";"";"None";"developpement"
"aws.s3.bucket";"eureden-waf-logging-developpement";"";"None";"developpement"
"aws.s3.bucket";"facturation-develop-invoices";"";"None";"developpement"
"aws.s3.bucket";"facturation-export";"";"None";"developpement"
"aws.s3.bucket";"intradom-cloud-backup-bdd-developpement";"bucket S3 pour les backup de base de données";"None";"developpement"
"aws.s3.bucket";"intradom-cloud-gelagri-artifactsbucket-developpement";"";"Enabled";"developpement"
"aws.s3.bucket";"intradom-cloud-gelagri-artifactsbucketlogging-developpement";"";"Enabled";"developpement"
"aws.s3.bucket";"intradom-temporary-transfer-developpement";"Bucket tampon pour les transferts de fichiers entre machines";"None";"developpement"
"aws.s3.bucket";"pythonlambdarobotframewo-buckpythonlambdarobotfra-gf38y5akqy41";"";"None";"developpement"
"aws.s3.bucket";"sagemaker-eu-west-3-773535489628";"";"None";"developpement"
"aws.s3.bucket";"intradom-cloud-delivery-shared";"Bucket S3 pour les livraisons";"None";"shared"
"aws.s3.bucket";"intradom-global-acm-crl";"Listes de revocations de certificats";"Suspended";"shared"
"aws.s3.bucket";"intradom-software-repository-shared";"Bucket pour les packages d installations";"None";"shared"
"aws.s3.bucket";"eureden-snowball-nfs1-frankfurt";"VM corrompues cyberattack Mars 2022 THEIX";"Enabled";"vmc"
"aws.s3.bucket";"eureden-snowball-nfs3-ldo-frankfurt";"VM corrompues cyberattack mars 2021 landerneau";"None";"vmc"
"aws.s3.bucket";"eureden-theix-vcenter-restore";"";"None";"vmc"
"aws.s3.bucket";"eureden-veeam-archive-repository-backup-eu-west-3";"";"Enabled";"vmc"
"aws.s3.bucket";"eureden-veeam-repository-backup-eu-west-3";"";"Enabled";"vmc"
"aws.s3.bucket";"intradom-archive-veeam-vmc";"";"Enabled";"vmc"
"aws.s3.bucket";"intradom-backup-veeam-vmc";"";"Enabled";"vmc"
"aws.s3.bucket";"intradom-config-veeam-vmc";"";"None";"vmc"
